n,d,outlier_fraction,outlier_mag,trial,s,true_cv,true_M,cv_hat,pilot_cv,M_hat,cv_rel_error,M_rel_error
1000,3,0.05,10.0,1,30,2.520669114923294,12.78671987327333,2.5943986849279503,2.5943986849279503,14.653042713394994,0.029249999362530442,0.14595790465564448
1000,3,0.05,10.0,1,50,2.520669114923294,12.78671987327333,2.431395901318768,2.431395901318768,11.016578740107931,0.03541647456859591,0.138435904650209
1000,3,0.05,10.0,1,100,2.520669114923294,12.78671987327333,2.555120495385597,2.555120495385597,12.589534644459706,0.013667553689747817,0.01542109554036447
1000,3,0.05,10.0,2,10,2.49068495781207,12.596211278828237,0.4777545310982411,0.4777545310982411,2.0103691750973365,0.8081834759551758,0.8403989000663736
1000,3,0.05,10.0,2,30,2.49068495781207,12.596211278828237,2.5502486830420428,2.5502486830420428,10.307360503371342,0.023914596281296146,0.1817094620589609
1000,3,0.05,10.0,2,50,2.49068495781207,12.596211278828237,2.411903534753319,2.411903534753319,10.566087495933965,0.031630424719775105,0.16116939752404058
1000,3,0.05,10.0,2,100,2.49068495781207,12.596211278828237,2.213423785878395,2.213423785878395,8.933979984702635,0.11131924616320556,0.29074070075984637
1000,3,0.1,2.0,0,10,0.6524098435515786,7.086241475883487,0.5032083990005631,0.5032083990005631,2.042644629137122,0.22869281637259634,0.7117449869456428
1000,3,0.1,2.0,0,30,0.6524098435515786,7.086241475883487,0.6458970613640277,0.6458970613640277,3.6173438130773685,0.009982654694626818,0.48952574853845615
1000,3,0.1,2.0,0,50,0.6524098435515786,7.086241475883487,0.861683577314537,0.861683577314537,6.048372895770067,0.32077034985204594,0.14646249124385397
1000,3,0.1,2.0,0,100,0.6524098435515786,7.086241475883487,0.5099159981374136,0.5099159981374136,2.958808918869665,0.21841155038136642,0.5824572265933442
1000,3,0.1,2.0,1,10,0.581167313005821,6.085439413528287,0.6746934456747089,0.6746934456747089,2.641704907645223,0.16092806765949536,0.5658974269347652
1000,3,0.1,2.0,1,30,0.581167313005821,6.085439413528287,0.47952482291295273,0.47952482291295273,2.6426057247419314,0.1748936800439949,0.5657493986601421
1000,3,0.1,2.0,1,50,0.581167313005821,6.085439413528287,0.4558978238732586,0.4558978238732586,2.7010992983627014,0.21554806392097917,0.5561373444359663
